year,month,sstarc
1900,1,-0.202562537
1900,2,-0.17680365
1900,3,0.010922493
1900,4,0.304525021
1900,5,0.137147661
1900,6,0.038651462
1900,7,-0.096654974
1900,8,0.203652122
1900,9,0.210232439
1900,10,0.501998716
1900,11,0.044781901
1900,12,-0.068287407
1901,1,0.04675301
1901,2,0.074979669
1901,3,-0.28168074
1901,4,-0.377008404
1901,5,-0.530824103
1901,6,-0.799799562
1901,7,-0.919263156
1901,8,-0.760380995
1901,9,-1.116050883
1901,10,-0.874950996
1901,11,-0.517517643
1901,12,-0.2680461
1902,1,-0.305661987
1902,2,-0.390659674
1902,3,-0.373277738
1902,4,-0.214259113
1902,5,-0.276956681
1902,6,0.079363729
1902,7,0.259510588
1902,8,-0.478353277
1902,9,-0.611130034
1902,10,-0.166553838
1902,11,0.15995911
1902,12,0.153564003
1903,1,-0.420394883
1903,2,-0.86391206
1903,3,-0.769697044
1903,4,-1.02805127
1903,5,-1.093650718
1903,6,-0.776733346
1903,7,-0.752214573
1903,8,-0.984795251
1903,9,-0.681383097
1903,10,-0.723885489
1903,11,-1.134013172
1903,12,-0.685896248
1904,1,-0.658297413
1904,2,-0.775709466
1904,3,-0.775361357
1904,4,-0.667602434
1904,5,-0.829938712
1904,6,-1.028461446
1904,7,-1.725677937
1904,8,-1.405542288
1904,9,-0.617754247
1904,10,-0.422636859
1904,11,-0.545370544
1904,12,-0.732292446
1905,1,-0.444140976
1905,2,-0.191376414
1905,3,-0.196919772
1905,4,-0.339720402
1905,5,-0.499410583
1905,6,-0.443166318
1905,7,-0.228905822
1905,8,-0.29912697
1905,9,-0.258495051
1905,10,-0.934175235
1905,11,-0.098327918
1905,12,-0.501889586
1906,1,-0.532522768
1906,2,-0.184372916
1906,3,-0.408351809
1906,4,-0.077417561
1906,5,-0.488762507
1906,6,-0.401618731
1906,7,-0.214806082
1906,8,-0.817629591
1906,9,-0.678081748
1906,10,-0.288241395
1906,11,-0.083522862
1906,12,-0.302766414
1907,1,-0.600659284
1907,2,-0.708089889
1907,3,-0.786193649
1907,4,-0.460834009
1907,5,-0.580462913
1907,6,-0.237287587
1907,7,-0.277157999
1907,8,-0.809970971
1907,9,-0.802937855
1907,10,-0.536445608
1907,11,-0.601867988
1907,12,-0.60972896
1908,1,-0.690925511
1908,2,-0.717264137
1908,3,-0.784217359
1908,4,-0.945188079
1908,5,-1.14695166
1908,6,-1.212854142
1908,7,-1.63449785
1908,8,-1.705879004
1908,9,-1.527080148
1908,10,-1.501755604
1908,11,-0.863194709
1908,12,-0.723035229
1909,1,-0.948074639
1909,2,-0.925420496
1909,3,-1.101051303
1909,4,-0.872756047
1909,5,-0.896821009
1909,6,-1.02224569
1909,7,-1.271339509
1909,8,-1.741018996
1909,9,-1.848022742
1909,10,-1.498224783
1909,11,-1.582716017
1909,12,-1.67415358
1910,1,-1.134260103
1910,2,-1.378765392
1910,3,-1.212713832
1910,4,-1.095858486
1910,5,-0.992004857
1910,6,-1.284133185
1910,7,-1.529057652
1910,8,-1.323972169
1910,9,-1.176560994
1910,10,-1.854702103
1910,11,-1.652079052
1910,12,-1.053631348
1911,1,-1.115116293
1911,2,-1.447624722
1911,3,-1.294644922
1911,4,-1.211346294
1911,5,-1.373415899
1911,6,-1.391405845
1911,7,-1.601732405
1911,8,-1.338433927
1911,9,-0.873443756
1911,10,-0.849804051
1911,11,-0.856203012
1911,12,-1.096705414
1912,1,-0.764460127
1912,2,-0.432516507
1912,3,-0.475171541
1912,4,-0.477752982
1912,5,-0.38434434
1912,6,-0.357816861
1912,7,-0.177297725
1912,8,-0.690995537
1912,9,-0.718691635
1912,10,-0.726908228
1912,11,-0.845424969
1912,12,-0.61409936
1913,1,-0.796546742
1913,2,-0.557048031
1913,3,-0.591094993
1913,4,-0.733192469
1913,5,-0.522132877
1913,6,-0.422160861
1913,7,-0.42869277
1913,8,-0.683459723
1913,9,-0.821091119
