Month,Year,Sample_Date,Cruise_#,Station+_Code,Station,Depth_(m),Distance_offshore_(nm),Gear,Start_Time,MMED,GoodHaul,Trawling_distance_(km),Lat,Long,Sablefish_juv,CK_subyearling,CK_yearling,Coho_yearling,Study,TemperatureC_3m,AvgOf_Top10mTempC,AvgOf_Top20mTempC
August,2005,########,24,082105GH06,GH06,35,6,NRT,8:01,No MMED,-1,3.383018,46.98167,-124.313,0,15,1,0,JSOES_Regular,12.2917,12.13611002,11.15267997
August,2005,########,24,082105GH10,GH10,54.9,10,NRT,10:20,No MMED,-1,2.717049,47.0115,-124.424,0,17,1,1,JSOES_Regular,12.3632,11.96880999,10.68214998
August,2005,########,24,082105GH16,GH16,79.7,16,NRT,12:21,No MMED,-1,3.302485,47.00917,-124.568,0,9,0,0,JSOES_Regular,,,
August,2005,########,24,082105GH21,GH21,112.1,21,NRT,14:20,No MMED,-1,3.339602,47.01283,-124.702,0,0,0,0,JSOES_Regular,,,
August,2005,########,24,082105GH26,GH26,148.7,26,NRT,15:55,No MMED,-1,3.536495,47.014,-124.819,0,0,0,0,JSOES_Regular,,,
August,2005,########,24,082205WB05,WB05,24.8,5,NRT,7:07,No MMED,-1,3.210345,46.68033,-124.184,0,0,0,0,JSOES_Regular,,,
August,2005,########,24,082205WB09,WB09,57,9,NRT,9:12,No MMED,-1,3.824326,46.6645,-124.292,0,11,1,0,JSOES_Regular,11.1519,11.13432007,10.22047005
August,2005,########,24,082205WB14,WB14,78.5,14,NRT,11:29,No MMED,-1,3.02645,46.6845,-124.399,0,5,0,0,JSOES_Regular,12.44,12.31782224,11.64393681
August,2005,########,24,082205WB19,WB19,110,19,NRT,13:50,No MMED,-1,3.507517,46.66017,-124.504,0,2,0,0,JSOES_Regular,13.6141,12.70972996,11.04519
August,2005,########,24,082205WB23,WB23,124,23,NRT,16:57,No MMED,-1,3.518447,46.681,-124.61,0,8,0,0,JSOES_Regular,14.2137,14.07075005,12.94628005
August,2005,########,24,082305CR04,CR04,24.7,4,NRT,6:57,No MMED,-1,3.28295,46.1745,-124.08,0,37,0,0,JSOES_Regular,12.0643,10.43676987,9.373194981
August,2005,########,24,082305CR07,CR07,53,7,NRT,8:57,No MMED,-1,3.606453,46.16683,-124.16,0,6,0,0,JSOES_Regular,12.3312,11.67784004,10.43255501
August,2005,########,24,082305CR10,CR10,76,10,NRT,10:44,No MMED,-1,3.562486,46.17733,-124.223,0,3,0,0,JSOES_Regular,13.441,13.02788,11.79767499
August,2005,########,24,082305CR15,CR15,110,15,NRT,12:48,No MMED,-1,3.701471,46.17467,-124.337,0,2,0,0,JSOES_Regular,13.5775,13.24210997,11.93165503
August,2005,########,24,082305CR20,CR20,131.1,20,NRT,14:46,No MMED,-1,3.407198,46.17633,-124.448,0,0,0,0,JSOES_Regular,13.1955,12.89933342,12.01151582
August,2005,########,24,082405CR10,CR10,77,10,NRT,20:19,No MMED,-1,5.045087,46.15783,-124.219,0,3,2,1,JSOES_Regular,13.4538,12.96357002,11.78162003
August,2005,########,24,082405CR25,CR25,150,25,NRT,7:21,No MMED,-1,3.644388,46.17333,-124.553,0,0,0,0,JSOES_Regular,14.8711,14.77285565,13.6946369
August,2005,########,24,082405CR30,CR30,556,30,NRT,9:14,No MMED,-1,3.756264,46.17617,-124.67,0,0,0,0,JSOES_Regular,14.2102,13.41433334,12.44261576
August,2005,########,24,082405CR35,CR35,1079,35,NRT,11:05,No MMED,-1,3.705946,46.18067,-124.793,0,0,0,0,JSOES_Regular,15.0949,15.07935566,14.55197374
August,2005,########,24,082505CM01,CM01,41,1,NRT,12:22,No MMED,-1,3.624039,45.51133,-124.02,0,17,0,0,JSOES_Regular,10.8593,10.58768988,10.01919494
August,2005,########,24,082505CM05,CM05,83,5,NRT,20:04,No MMED,-1,4.253284,45.50183,-124.094,0,0,0,0,JSOES_Regular,12.239,12.13672235,11.00003167
August,2005,########,24,082505CM10,CM10,135,10,NRT,18:15,No MMED,-1,3.98749,45.49533,-124.215,0,0,0,0,JSOES_Regular,14.5364,13.54398897,12.2461843
August,2005,########,24,082505CM15,CM15,173,15,NRT,16:25,No MMED,-1,3.636201,45.4935,-124.326,0,0,0,0,JSOES_Regular,14.163,13.59526014,12.61286001
August,2005,########,24,082605NH03,NH03,45.1,3,NRT,6:55,No MMED,-1,2.787593,44.68167,-124.13,0,0,0,0,JSOES_Regular,8.5889,8.24637768,7.952252589
August,2005,########,24,082605NH05,NH05,60.5,5,NRT,8:26,No MMED,-1,5.578884,44.6995,-124.177,0,4,0,0,JSOES_Regular,10.2535,9.87961998,9.201490068
August,2005,########,24,082605NH10,NH10,78.2,10,NRT,10:22,No MMED,-1,3.605206,44.685,-124.29,0,0,0,0,JSOES_Regular,11.4026,10.75474014,9.843465042
August,2005,########,24,082605NH15,NH15,90,15,NRT,12:13,No MMED,-1,3.389697,44.6905,-124.414,0,0,0,0,JSOES_Regular,12.9104,12.00616667,10.98324736
August,2005,########,24,082605NH20,NH20,140.5,20,NRT,14:01,No MMED,-1,2.212107,44.66817,-124.524,0,0,0,0,JSOES_Regular,13.6271,13.61824007,12.88638
August,2005,########,24,082705CH01,CH01,30.8,1,NRT,6:55,No MMED,-1,3.638978,45.05733,-124.036,0,63,0,0,JSOES_Regular,11.1498,11.11255561,10.95727905
August,2005,########,24,082705CH05,CH05,92.5,5,NRT,8:42,No MMED,-1,3.887169,45.05867,-124.132,0,0,0,0,JSOES_Regular,13.1069,12.14451017,10.70764499
August,2005,########,24,082705CH10,CH10,142,10,NRT,10:35,No MMED,-1,2.944555,45.0455,-124.23,0,0,0,0,JSOES_Regular,13.7901,13.53441111,11.89117893
July,2010,########,FR1001,FR100101T1,NH05,59,5,NRT,14:06,No MMED,-1,3.220645,44.67,-124.17,0,0,0,1,SWFSC,,,
July,2010,7/1/2010,FR1001,FR100102T1,HH01,30,1.4,NRT,8:05,No MMED,-1,2.070792,44,-124.171,0,0,0,0,SWFSC,,,
July,2010,7/1/2010,FR1001,FR100105T1,HH04,117,10.9,NRT,14:39,No MMED,-1,3.15818,44,-124.39,0,2,0,1,SWFSC,,,
July,2010,7/1/2010,FR1001,FR100106T1,HH05,133,15.9,NRT,16:52,No MMED,-1,3.320292,44,-124.507,0,0,0,0,SWFSC,,,
July,2010,7/1/2010,FR1001,FR100104T1,HH03,80,5.9,NRT,11:58,No MMED,-1,3.355007,44,-124.275,0,0,0,1,SWFSC,,,
July,2010,7/1/2010,FR1001,FR100103T1,HH02,55,3.2,NRT,10:00,No MMED,-1,3.467716,44,-124.212,0,1,0,1,SWFSC,,,
July,2010,########,FR1001,FR100144T1,GP01,35,0.9,NRT,8:30,No MMED,-1,1.037496,38.75,-123.545,0,0,0,0,SWFSC,,,
July,2010,########,FR1001,FR100148T1,GP05,300,14.5,NRT,16:55,No MMED,-1,1.561936,38.75,-123.835,0,0,0,0,SWFSC,,,
July,2010,########,FR1001,FR100146T1,GP03,87,4.5,NRT,12:12,No MMED,-1,3.267935,38.75,-123.622,0,0,0,0,SWFSC,,,
July,2010,########,FR1001,FR100145T1,GP02,55,2,NRT,10:17,No MMED,-1,3.370346,38.75,-123.568,0,0,0,2,SWFSC,,,
July,2010,########,FR1001,FR100147T1,GP04,126,9.5,NRT,14:22,No MMED,-1,3.434844,38.75,-123.728,0,0,0,0,SWFSC,,,
July,2010,########,FR1001,FR100149T1,FR01,39,1.2,NRT,8:10,No MMED,-1,2.321955,38.5,-123.247,0,1,0,42,SWFSC,,,
July,2010,########,FR1001,FR100150T1,FR02,55,1.8,NRT,10:35,No MMED,-1,3.313544,38.5,-123.26,0,1,0,183,SWFSC,,,
