,Estimated effects of station water temperature at 3m and an integrated measure of sea surface temperate across,,,
, an arc in the northeast Pacific during May of each year (SSTarc) for encounter rates and positive catches for the four 'species' groups.  ,,,
,,,,
,,,,
,,,,
,Encounter,,Positive catches,
,Station temperature (3m),SSTarc,Station temperature (3m),SSTarc
Subyearling Chinook,-0.69 ± 0.19,0.17 ± 0.26,0.08 ± 0.09,0.04 ± 0.10
Yearling Chinook,-0.11 ± 0.14,-0.67 ± 0.2,-0.12 ± 0.05,-0.22 ± 0.06
Yearling Coho,0.28 ± 0.15,-0.28 ± 0.22,0.07 ± 0.07,-0.1 ± 0.08
Sablefish,1.37 ± 0.39,1.23 ± 0.45,-0.11 ± 0.24,0.22 ± 0.23
